Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
18DD8025688A8458D55DABF67D5CE9D57E155B82_1647962347,03/22/2022 03:19:07 PM +0000,Crash Urgent,"(30.408262,-97.696992)",30.408262,-97.696992,Metric Blvd & Cedar Bend Dr,ARCHIVED,03/22/2022 03:40:03 PM +0000
59976704CF42F25B77F2108792C193383EAEAC10_1647963613,03/22/2022 03:40:13 PM +0000,Crash Urgent,"(30.208991,-97.755685)",30.208991,-97.755685,4700 S Ih 35 Nb,ARCHIVED,03/22/2022 03:50:03 PM +0000
6F0179C78C19C896ABF478785283768080523714_1647957457,03/22/2022 01:57:37 PM +0000,Crash Urgent,"(30.277537,-97.819543)",30.277537,-97.819543,S Capital Of Texas Hwy Sb & Westbank Dr,ARCHIVED,03/22/2022 03:55:03 PM +0000
C525DC1CEE17F61A8E0F94B225FBE0DE97E7A499_1647960139,03/22/2022 02:42:19 PM +0000,COLLISION,"(30.39225,-97.877125)",30.39225,-97.877125,N Fm 620 Rd & Cedar St,ARCHIVED,03/22/2022 03:55:03 PM +0000
B7CCD06EAE4373F089148CA12686DAE18E47697B_1647960572,03/22/2022 02:49:32 PM +0000,COLLISION,"(30.362813,-97.51802)",30.362813,-97.51802,19000-19025 Samuel Welch Way,ARCHIVED,03/22/2022 04:05:02 PM +0000
E015C7217E97F6902C6412BE44D1E12E9C6A908C_1647966060,03/22/2022 04:21:00 PM +0000,Crash Urgent,"(30.406491,-97.678443)",30.406491,-97.678443,12400-12442 N Lamar Blvd,ARCHIVED,03/22/2022 04:35:03 PM +0000
C03683BF915B1D9B9B2949494BFDA59AC1C5F7A2_1647965838,03/22/2022 04:17:18 PM +0000,Crash Urgent,"(30.428287,-97.68113)",30.428287,-97.68113,1701-1743 W Howard Ln,ARCHIVED,03/22/2022 06:05:03 PM +0000
D68D511A802252FA03DE1BBB8519C655446E2054_1647967555,03/22/2022 04:45:55 PM +0000,Crash Urgent,"(30.143981,-97.806094)",30.143981,-97.806094,100 E Fm 1626 Rd,ARCHIVED,03/22/2022 05:00:03 PM +0000
ABCD1C5876F36174110775438923CE78ACBF8594_1647969817,03/22/2022 05:23:37 PM +0000,Crash Urgent,"(30.256439,-97.801563)",30.256439,-97.801563,2400 S Mopac Expy Sb,ARCHIVED,03/22/2022 05:50:03 PM +0000
ECBBA657698CD0456AE5C2E9D24999B77C4A8498_1647969778,03/22/2022 05:22:58 PM +0000,COLLISION,"(30.407184,-97.719617)",30.407184,-97.719617,11900-blk N Mopac Expy Svrd Nb,ARCHIVED,03/22/2022 06:00:03 PM +0000
9C664803E199AD40E55A2C29815BFF7C5C01BE58_1647971364,03/22/2022 05:49:24 PM +0000,Crash Urgent,"(30.227871,-97.779072)",30.227871,-97.779072,1200 W Ben White Blvd Wb,ARCHIVED,03/22/2022 06:35:03 PM +0000
E4824648C5AB1DB9D060F3C7FF97B79FC6D2D049_1647973474,03/22/2022 06:24:34 PM +0000,COLLISN/ LVNG SCN,"(30.325947,-98.02606)",30.325947,-98.02606,Pedernales Summit Pkwy & Tonkowa Draw Rd,ARCHIVED,03/22/2022 06:50:03 PM +0000
EDE8181748D50098F5E9AD01E65BB4B61526569F_1647974715,03/22/2022 06:45:15 PM +0000,COLLISION,"(30.348947,-97.562561)",30.348947,-97.562561,12400-12441 Gregg Manor Rd,ARCHIVED,03/22/2022 07:20:03 PM +0000
C815C1EA05A0C9CD15BAF385FB76353EFDE3E50C_1647976849,03/22/2022 07:20:49 PM +0000,Crash Urgent,"(30.282238,-97.743741)",30.282238,-97.743741,Nueces St & W Martin Luther King Jr Blvd,ARCHIVED,03/22/2022 07:55:02 PM +0000
142B577AA1967D757715FA937CC10D50E5814A4A_1647980639,03/22/2022 08:23:59 PM +0000,Crash Urgent,"(30.226799,-97.770016)",30.226799,-97.770016,600-1025 W Ben White Blvd Eb,ARCHIVED,03/22/2022 09:15:03 PM +0000
3259CB20A537C3539F365141FA16B8651163F575_1647980104,03/22/2022 08:15:04 PM +0000,COLLISION,"(30.451786,-97.662348)",30.451786,-97.662348,1614-1721 Three Points Rd,ARCHIVED,03/22/2022 08:55:02 PM +0000
99E8211A93F176BB670C12FB301CEBB68B0F01FA_1647979709,03/22/2022 08:08:29 PM +0000,Crash Urgent,"(30.315342,-97.708109)",30.315342,-97.708109,5526 N Ih 35 Svrd Sb,ARCHIVED,03/22/2022 09:50:03 PM +0000
9669582CD862FB3798DCA33583826C0FB32BDCE4_1647980266,03/22/2022 08:17:46 PM +0000,Crash Urgent,"(30.211365,-97.803093)",30.211365,-97.803093,Menchaca Rd & Parkside Ln,ARCHIVED,03/22/2022 11:10:03 PM +0000
FB21052C91D54236F8B126EFE00C629662C849FB_1647981093,03/22/2022 08:31:33 PM +0000,COLLISION,"(30.226518,-97.769466)",30.226518,-97.769466,600-blk W Ben White Blvd Eb,ARCHIVED,03/22/2022 09:35:03 PM +0000
539E322A4F4CC65780CE1E183AD98299538EC22C_1647981120,03/22/2022 08:32:00 PM +0000,Crash Urgent,"(30.403591,-97.638453)",30.403591,-97.638453,E Howard Ln & Dessau Rd,ARCHIVED,03/22/2022 10:20:03 PM +0000
